dataset,encoding,rows,features,logreg_real,logreg_synt,logreg_gap,xgb_real,xgb_synt,xgb_gap,mean_jsd
adult,one_hot_encoding,10000,118,0.8476,0.7564,0.09120000000000006,0.8636,0.7566,0.10699999999999998,0.006516656806052248
adult,label_encoding,10000,14,0.7968,0.7564,0.04039999999999999,0.8586,0.7542,0.10440000000000005,0.04114427995645999
adult,frequency_encoding,10000,14,0.8094,0.7614,0.04800000000000004,0.8586,0.7472,0.11140000000000005,0.02278696668063421
bank_marketing,one_hot_encoding,10000,148,0.8978,0.8794,0.018400000000000083,0.9004,0.8788,0.021599999999999953,0.0059759345511674195
bank_marketing,label_encoding,10000,16,0.8866,0.8794,0.007200000000000095,0.899,0.8774,0.021600000000000064,0.026949470558202265
bank_marketing,frequency_encoding,10000,16,0.8872,0.8794,0.007800000000000029,0.898,0.8784,0.019600000000000062,0.029614785071201917
california_housing,original,10000,8,0.6026356566267342,-0.15078082238887647,0.7534164790156107,0.8316102623939514,-0.19549560546875,1.0271058678627014,0.07215611742568548
chess_kr_k,original,1473,9,0.5386702849389416,0.42469470827679784,0.11397557666214381,0.5725915875169606,0.38670284938941657,0.18588873812754403,0.0749646679258156
chess_kr_k,one_hot_encoding,1473,71,0.55359565807327,0.4151967435549525,0.13839891451831754,0.5508819538670285,0.3948439620081411,0.15603799185888745,0.1380640163006008
chess_kr_k,label_encoding,1473,9,0.5576662143826323,0.3514246947082768,0.2062415196743555,0.5753052917232022,0.3541383989145183,0.2211668928086839,0.08418900530908419
chess_kr_k,frequency_encoding,1473,9,0.47761194029850745,0.27137042062415195,0.2062415196743555,0.5495251017639078,0.31614654002713705,0.23337856173677074,0.0835549233108406
connect_4,original,10000,42,0.6642,0.6266,0.03759999999999997,0.7884,0.5608,0.22760000000000002,0.009586773781479865
connect_4,one_hot_encoding,10000,126,0.7592,0.5512,0.20799999999999996,0.7934,0.5434,0.25,0.005585673725596096
connect_4,label_encoding,10000,42,0.6642,0.659,0.005199999999999982,0.7884,0.598,0.1904,0.007385784611489151
connect_4,frequency_encoding,10000,42,0.6576,0.5446,0.11299999999999999,0.7862,0.4978,0.2884,0.006534667719117305
default_credit,original,10000,23,0.8048,0.71,0.0948,0.812,0.5882,0.2238000000000001,0.06014211372401145
default_credit,one_hot_encoding,10000,87,0.8158,0.7818,0.03399999999999992,0.813,0.782,0.030999999999999917,0.013056468725697663
default_credit,label_encoding,10000,23,0.8038,0.779,0.024799999999999933,0.8104,0.7706,0.03980000000000006,0.05458964954199031
default_credit,frequency_encoding,10000,23,0.8028,0.7726,0.030200000000000005,0.8128,0.735,0.07779999999999998,0.04393504969335375
letter_recognition,original,10000,16,0.2898505163755919,-0.043667373818835786,0.3335178901944277,0.7771739363670349,-0.12259721755981445,0.8997711539268494,0.07018396976344066
letter_recognition,one_hot_encoding,10000,255,0.44073867118841825,-0.36989048350262754,0.8106291546910458,0.6052579283714294,-0.3141493797302246,0.919407308101654,0.004570010077924062
letter_recognition,label_encoding,10000,16,0.16248777065511433,-0.011737655372861866,0.1742254260279762,0.7453545928001404,-0.09820175170898438,0.8435563445091248,0.03153959864320127
letter_recognition,frequency_encoding,10000,16,0.13485298091436837,0.0002477610466072866,0.13460521986776108,0.7296267747879028,-0.014783620834350586,0.7444103956222534,0.030789532073662463
magic_gamma,original,10000,10,0.7924,0.6574,0.135,0.8722,0.6362,0.236,0.10628419812359971
nursery,one_hot_encoding,10000,27,0.9254,0.3458,0.5796,0.9972,0.0,0.9972,0.006550800045727391
nursery,label_encoding,10000,8,0.7702,0.3216,0.4486,0.9922,0.3624,0.6297999999999999,0.002753447211275118
nursery,frequency_encoding,10000,8,0.7828,0.3054,0.47740000000000005,0.9922,0.3106,0.6816,0.0016146218158946653
online_shoppers,one_hot_encoding,10000,121,0.8842,0.8452,0.039000000000000035,0.9044,0.8378,0.06659999999999999,0.008257465441648914
online_shoppers,label_encoding,10000,17,0.8844,0.8454,0.038999999999999924,0.9044,0.8452,0.05920000000000003,0.04332485370830758
online_shoppers,frequency_encoding,10000,17,0.8816,0.8444,0.03720000000000001,0.9006,0.8446,0.05599999999999994,0.03813904750173359
phishing_websites,original,10000,30,0.9244,0.5146,0.40980000000000005,0.9552,0.5382,0.41700000000000004,0.027934655453396226
phishing_websites,one_hot_encoding,10000,68,0.9352,0.4542,0.48100000000000004,0.957,0.5368,0.4201999999999999,0.012324425072430754
phishing_websites,label_encoding,10000,30,0.9244,0.558,0.36639999999999995,0.9552,0.5478,0.4074000000000001,0.009967690280231608
phishing_websites,frequency_encoding,10000,30,0.9028,0.558,0.3448,0.9582,0.539,0.4192,0.009334529725828041
