age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
19,0.0874,30800,0.0264,6,0.0112,0.12,0.1041,0.0105,0.3202,0,0,40,0.9153,0
45,0.7364,26781,0.3251,9,0.468,0.0339,0.4152,0.0105,0.6798,0,0,40,0.9153,0
47,0.7364,431515,0.0459,11,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,1
23,0.7364,45713,0.2159,10,0.3235,0.1355,0.027,0.8616,0.6798,0,0,40,0.9153,0
53,0.0664,175897,0.3251,9,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
52,0.0874,34973,0.3251,9,0.468,0.0339,0.4152,0.8616,0.6798,0,1887,60,0.9153,1
33,0.7364,341187,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,50,0.9153,1
28,0.7364,189530,0.3251,9,0.468,0.1187,0.4152,0.8616,0.6798,0,0,35,0.9153,0
46,0.0664,267952,0.0459,11,0.1372,0.1358,0.2579,0.8616,0.3202,0,0,36,0.9153,0
29,0.7364,327779,0.2159,10,0.468,0.0441,0.4152,0.8616,0.6798,0,0,20,0.9153,0
29,0.7364,229729,0.3251,9,0.3235,0.0531,0.2579,0.8616,0.6798,0,0,40,0.9153,0
42,0.0874,162758,0.2159,10,0.468,0.0441,0.4152,0.8616,0.6798,0,0,56,0.9153,1
22,0.7364,137591,0.2159,10,0.3235,0.1187,0.149,0.8616,0.6798,0,0,35,0.9153,0
39,0.7364,346478,0.3251,9,0.468,0.1187,0.4152,0.8616,0.6798,0,0,40,0.9153,1
38,0.0874,194534,0.0533,14,0.468,0.1303,0.4152,0.092,0.6798,99999,0,60,0.9153,1
48,0.7364,199590,0.3251,9,0.468,0.1046,0.4152,0.8616,0.6798,0,0,40,0.0219,1
23,0.7364,215624,0.2159,10,0.3235,0.066,0.1041,0.0272,0.6798,0,0,40,0.0017,0
21,0.7364,44793,0.2159,10,0.3235,0.12,0.2579,0.8616,0.6798,0,0,65,0.9153,0
35,0.7364,282753,0.0459,11,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,1
68,0.0874,195881,0.3251,9,0.468,0.0339,0.4152,0.8616,0.6798,2414,0,40,0.9153,0
41,0.7364,184102,0.0352,7,0.1372,0.1046,0.2579,0.8616,0.6798,0,0,40,0.9153,0
54,0.7364,210736,0.3251,9,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,1
38,0.0408,188303,0.2159,10,0.468,0.0215,0.4152,0.8616,0.6798,7688,0,40,0.9153,1
46,0.7364,228372,0.165,13,0.1372,0.1187,0.1041,0.8616,0.6798,0,0,40,0.9153,1
52,0.0664,152795,0.2159,10,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
27,0.7364,109997,0.3251,9,0.1372,0.1046,0.2579,0.8616,0.3202,0,0,40,0.9153,0
47,0.7364,252079,0.165,13,0.468,0.066,0.4152,0.8616,0.6798,7688,0,44,0.9153,1
35,0.7364,301862,0.3251,9,0.3235,0.1355,0.1041,0.8616,0.6798,0,0,50,0.9153,0
22,0.7364,315974,0.2159,10,0.3235,0.1187,0.2579,0.8616,0.3202,0,0,40,0.9153,0
34,0.7364,261023,0.2159,10,0.468,0.1355,0.4152,0.8616,0.6798,0,1651,38,0.9153,0
31,0.7364,147284,0.0116,16,0.468,0.1303,0.4152,0.8616,0.6798,0,1977,99,0.9153,1
27,0.7364,37754,0.2159,10,0.468,0.0339,0.4152,0.8616,0.6798,0,0,80,0.9153,0
22,0.7364,191324,0.2159,10,0.3235,0.0215,0.149,0.8616,0.6798,0,0,25,0.9153,0
40,0.7364,124692,0.165,13,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.9153,1
56,0.0874,306633,0.0459,11,0.468,0.1303,0.4152,0.8616,0.6798,0,0,40,0.9153,0
38,0.0319,216924,0.0459,11,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
42,0.7364,22831,0.3251,9,0.3235,0.1046,0.2579,0.8616,0.3202,0,0,40,0.9153,0
52,0.7364,110748,0.0533,14,0.468,0.1303,0.4152,0.8616,0.6798,0,0,50,0.9153,1
63,0.7364,137192,0.165,13,0.468,0.1355,0.4152,0.0272,0.6798,0,0,40,0.0021,0
48,0.7364,166863,0.0533,14,0.468,0.1358,0.4152,0.8616,0.6798,0,0,40,0.9153,1
24,0.7364,62952,0.3251,9,0.3235,0.1355,0.149,0.8616,0.6798,0,0,40,0.9153,0
45,0.0664,148222,0.3251,9,0.3235,0.12,0.2579,0.092,0.3202,0,0,40,0.9153,0
37,0.0408,60227,0.165,13,0.3235,0.12,0.2579,0.8616,0.6798,0,0,38,0.9153,0
20,0.7364,204641,0.3251,9,0.3235,0.12,0.149,0.8616,0.6798,0,0,20,0.9153,0
34,0.7364,125279,0.3251,9,0.468,0.0531,0.4152,0.8616,0.6798,0,0,40,0.9153,0
18,0.7364,217942,0.0352,7,0.3235,0.1046,0.149,0.8616,0.6798,0,0,24,0.9153,0
33,0.0408,174171,0.2159,10,0.033,0.0322,0.2579,0.8616,0.6798,0,0,12,0.9153,0
36,0.7364,120204,0.3251,9,0.1372,0.0322,0.2579,0.8616,0.3202,0,0,40,0.9153,0
48,0.7364,128432,0.3251,9,0.468,0.1046,0.4152,0.8616,0.6798,0,0,40,0.9153,0
55,0.7364,124808,0.0459,11,0.468,0.1303,0.4152,0.8616,0.6798,0,1977,50,0.0043,1
35,0.7364,188972,0.3251,9,0.026,0.1358,0.1041,0.8616,0.3202,0,0,30,0.9153,0
38,0.7364,119177,0.165,13,0.468,0.1187,0.4152,0.8616,0.6798,0,0,40,0.9153,1
37,0.7364,318168,0.3251,9,0.3235,0.066,0.2579,0.092,0.6798,1055,0,20,0.9153,0
41,0.7364,160893,0.0349,12,0.3235,0.12,0.2579,0.8616,0.3202,0,0,45,0.9153,0
44,0.0408,691903,0.0533,14,0.468,0.1303,0.4152,0.092,0.6798,0,0,60,0.9153,1
44,0.7364,101214,0.165,13,0.1372,0.1187,0.1041,0.8616,0.6798,0,0,44,0.9153,1
20,0.7364,510643,0.3251,9,0.3235,0.0531,0.2579,0.8616,0.6798,0,0,40,0.9153,0
52,0.7364,150930,0.0459,11,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
22,0.7364,131291,0.2159,10,0.3235,0.1303,0.149,0.8616,0.6798,0,0,15,0.9153,0
46,0.7364,191204,0.0459,11,0.3235,0.1358,0.149,0.8616,0.3202,0,0,40,0.9153,0
46,0.0664,144531,0.165,13,0.3235,0.1303,0.2579,0.8616,0.3202,0,0,40,0.9153,1
37,0.7364,185567,0.3251,9,0.1372,0.066,0.1041,0.8616,0.6798,0,0,40,0.9153,1
23,0.7364,113466,0.3251,9,0.3235,0.1355,0.2579,0.8616,0.6798,0,0,40,0.9153,0
28,0.7364,207513,0.3251,9,0.3235,0.1187,0.149,0.8616,0.6798,0,0,48,0.9153,0
43,0.7364,110556,0.3251,9,0.033,0.1358,0.1041,0.092,0.3202,0,0,40,0.9153,0
35,0.7364,27408,0.2159,10,0.3235,0.1187,0.2579,0.8616,0.6798,0,0,40,0.9153,0
47,0.7364,140664,0.165,13,0.1372,0.1187,0.2579,0.8616,0.6798,0,0,45,0.9153,0
22,0.7364,193190,0.3251,9,0.3235,0.1046,0.149,0.092,0.3202,0,0,40,0.9153,0
71,0.7364,211707,0.2159,10,0.468,0.1187,0.4152,0.8616,0.6798,0,0,4,0.9153,0
39,0.7364,174330,0.3251,9,0.033,0.1355,0.1041,0.8616,0.6798,0,0,40,0.9153,0
66,0.7364,135446,0.3251,9,0.468,0.1187,0.4152,0.8616,0.6798,0,0,40,0.9153,0
35,0.7364,81232,0.165,13,0.468,0.1187,0.4152,0.8616,0.6798,15024,0,50,0.9153,1
25,0.7364,161631,0.2159,10,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
25,0.7364,98155,0.2159,10,0.3235,0.0531,0.1041,0.8616,0.6798,0,0,40,0.9153,0
24,0.7364,143766,0.2159,10,0.3235,0.066,0.149,0.8616,0.6798,0,0,55,0.9153,0
57,0.0874,200316,0.0208,4,0.468,0.1355,0.4152,0.8616,0.6798,0,0,50,0.9153,0
43,0.7364,76460,0.3251,9,0.3235,0.12,0.2579,0.8616,0.3202,0,0,40,0.9153,0
19,0.7364,146679,0.2159,10,0.3235,0.1358,0.149,0.092,0.6798,0,0,30,0.9153,0
53,0.7364,104258,0.0264,6,0.468,0.1355,0.4152,0.8616,0.6798,0,0,40,0.9153,0
64,0.7364,237581,0.0208,4,0.468,0.0531,0.4152,0.8616,0.6798,0,0,48,0.0219,1
23,0.7364,520759,0.3251,9,0.3235,0.1046,0.2579,0.092,0.6798,0,0,30,0.9153,0
28,0.7364,398220,0.0114,3,0.3235,0.1355,0.027,0.8616,0.6798,0,0,40,0.0219,0
80,0.7364,107740,0.3251,9,0.026,0.0441,0.2579,0.8616,0.6798,0,0,30,0.9153,0
28,0.7364,230997,0.3251,9,0.3235,0.1187,0.149,0.8616,0.3202,0,0,60,0.9153,0
36,0.0367,107218,0.2159,10,0.1372,0.1187,0.1041,0.0272,0.6798,0,0,55,0.9153,0
39,0.7364,33886,0.3251,9,0.468,0.0531,0.4152,0.8616,0.6798,0,0,60,0.9153,0
35,0.0874,185621,0.165,13,0.3235,0.1303,0.149,0.8616,0.3202,0,0,40,0.9153,0
27,0.7364,160291,0.2159,10,0.3235,0.12,0.1041,0.092,0.3202,0,0,40,0.0043,0
34,0.7364,198693,0.0264,6,0.3235,0.1046,0.2579,0.8616,0.6798,0,0,30,0.9153,0
31,0.0664,168906,0.0349,12,0.468,0.12,0.0468,0.8616,0.3202,0,0,35,0.9153,0
22,0.7364,185452,0.165,13,0.3235,0.1358,0.149,0.8616,0.3202,0,0,40,0.9153,0
38,0.0319,455379,0.0135,8,0.468,0.0215,0.4152,0.8616,0.6798,0,0,56,0.9153,1
37,0.7364,114765,0.2159,10,0.3235,0.066,0.2579,0.8616,0.3202,0,0,40,0.9153,0
32,0.7364,37232,0.2159,10,0.468,0.12,0.4152,0.8616,0.6798,0,0,40,0.9153,0
