V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
40,0.2117,0.5982,0.5022,0.9846,580,0.5543,0.8437,0.2904,0.03,0.3089,192,0.3834,-1,0.8172,0.8173,0
47,0.0898,0.2833,0.5022,0.9846,3644,0.4457,0.8437,0.2904,0.0354,0.1128,83,0.2774,-1,0.8172,0.8173,0
25,0.021,0.2833,0.3047,0.9846,538,0.5543,0.8437,0.6451,0.0567,0.0651,226,0.3834,-1,0.8172,0.8173,0
42,0.2155,0.5982,0.3047,0.9846,1773,0.4457,0.8437,0.6451,0.0354,0.0651,311,0.3834,336,0.0623,0.1108,0
56,0.2155,0.5982,0.3047,0.9846,217,0.4457,0.1563,0.6451,0.0457,0.1517,121,0.2774,-1,0.8172,0.8173,0
28,0.2117,0.5982,0.5022,0.9846,1134,0.4457,0.8437,0.6451,0.0354,0.0584,130,0.1245,-1,0.8172,0.8173,0
24,0.2155,0.2833,0.3047,0.9846,1085,0.4457,0.1563,0.6451,0.0401,0.3089,95,0.0314,-1,0.8172,0.8173,0
37,0.1141,0.2833,0.5022,0.9846,127,0.4457,0.8437,0.6451,0.02,0.011,83,0.0814,-1,0.8172,0.8173,0
30,0.2117,0.2833,0.5022,0.9846,3,0.5543,0.8437,0.6451,0.0191,0.1517,51,0.3834,-1,0.8172,0.8173,0
38,0.1693,0.2833,0.5022,0.9846,258,0.4457,0.1563,0.2904,0.0567,0.1128,587,0.2774,-1,0.8172,0.8173,0
33,0.2117,0.2833,0.5022,0.9846,498,0.4457,0.8437,0.6451,0.0337,0.0651,301,0.3834,-1,0.8172,0.8173,1
48,0.2117,0.1185,0.5022,0.9846,65,0.5543,0.8437,0.6451,0.0411,0.3089,146,0.3834,370,0.0623,0.1108,0
30,0.2117,0.2833,0.5022,0.9846,18,0.4457,0.8437,0.2904,0.0354,0.3089,395,0.3834,-1,0.8172,0.8173,0
31,0.2155,0.1185,0.3047,0.9846,883,0.5543,0.8437,0.6451,0.0445,0.011,112,0.2774,106,0.0623,0.1108,1
30,0.2155,0.2833,0.3047,0.9846,640,0.4457,0.8437,0.6451,0.0419,0.0584,124,0.0814,213,0.0471,0.1108,0
30,0.2155,0.2833,0.3047,0.9846,536,0.4457,0.8437,0.6451,0.0368,0.015,244,0.3834,105,0.0623,0.0339,1
35,0.2117,0.5982,0.5022,0.9846,247,0.5543,0.1563,0.6451,0.0348,0.3089,114,0.3834,352,0.0102,0.1108,0
31,0.2155,0.2833,0.3047,0.9846,518,0.5543,0.8437,0.6451,0.0516,0.3089,399,0.3834,-1,0.8172,0.8173,0
46,0.2117,0.5982,0.5022,0.9846,0,0.5543,0.8437,0.2904,0.02,0.3089,172,0.1245,-1,0.8172,0.8173,0
33,0.2155,0.2833,0.3047,0.9846,5437,0.4457,0.8437,0.6451,0.0327,0.3089,267,0.3834,91,0.0623,0.1108,1
49,0.0318,0.1185,0.5022,0.9846,-478,0.5543,0.1563,0.6451,0.0567,0.0889,291,0.3834,-1,0.8172,0.8173,0
35,0.2155,0.5982,0.3047,0.9846,991,0.5543,0.8437,0.6451,0.0419,0.3089,1489,0.1245,-1,0.8172,0.8173,1
43,0.2117,0.5982,0.5022,0.9846,-755,0.5543,0.1563,0.6451,0.0445,0.3089,162,0.3834,337,0.0623,0.1108,0
44,0.2117,0.1185,0.5022,0.9846,-239,0.5543,0.8437,0.2904,0.0266,0.3089,111,0.1245,-1,0.8172,0.8173,0
33,0.0334,0.2833,0.3047,0.9846,3017,0.4457,0.8437,0.6451,0.0457,0.0889,240,0.1245,-1,0.8172,0.8173,0
33,0.0898,0.5982,0.5022,0.9846,184,0.5543,0.8437,0.2904,0.0348,0.3089,109,0.0814,-1,0.8172,0.8173,0
23,0.021,0.2833,0.5022,0.9846,431,0.4457,0.8437,0.6451,0.0348,0.1409,496,0.2774,-1,0.8172,0.8173,1
