V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
40,1,1,1,0,580,1,0,2,7,8,192,0,-1,0,3,0
47,7,2,1,0,3644,0,0,2,30,6,83,11,-1,0,3,0
25,8,2,2,0,538,1,0,0,12,0,226,0,-1,0,3,0
42,4,1,2,0,1773,0,0,0,30,0,311,0,336,1,0,0
56,4,1,2,0,217,0,1,0,13,5,121,11,-1,0,3,0
28,1,1,1,0,1134,0,0,0,30,3,130,22,-1,0,3,0
24,4,2,2,0,1085,0,1,0,28,8,95,32,-1,0,3,0
37,0,2,1,0,127,0,0,0,15,7,83,29,-1,0,3,0
30,1,2,1,0,3,1,0,0,17,5,51,0,-1,0,3,0
38,9,2,1,0,258,0,1,2,12,6,587,11,-1,0,3,0
33,1,2,1,0,498,0,0,0,23,0,301,0,-1,0,3,1
48,1,0,1,0,65,1,0,0,5,8,146,0,370,1,0,0
30,1,2,1,0,18,0,0,2,30,8,395,0,-1,0,3,0
31,4,0,2,0,883,1,0,0,26,7,112,11,106,1,0,1
30,4,2,2,0,640,0,0,0,27,3,124,29,213,12,0,0
30,4,2,2,0,536,0,0,0,6,10,244,0,105,1,2,1
35,1,1,1,0,247,1,1,0,4,8,114,0,352,26,0,0
31,4,2,2,0,518,1,0,0,9,8,399,0,-1,0,3,0
46,1,1,1,0,0,1,0,2,15,8,172,22,-1,0,3,0
33,4,2,2,0,5437,0,0,0,25,8,267,0,91,1,0,1
49,6,0,1,0,-478,1,1,0,12,9,291,0,-1,0,3,0
35,4,1,2,0,991,1,0,0,27,8,1489,22,-1,0,3,1
43,1,1,1,0,-755,1,1,0,26,8,162,0,337,1,0,0
44,1,0,1,0,-239,1,0,2,19,8,111,22,-1,0,3,0
33,2,2,2,0,3017,0,0,0,13,9,240,22,-1,0,3,0
33,7,1,1,0,184,1,0,2,4,8,109,29,-1,0,3,0
23,8,2,1,0,431,0,0,0,4,1,496,11,-1,0,3,1
47,1,1,0,0,699,0,0,0,26,1,203,0,-1,0,3,0
60,9,1,1,0,914,0,0,2,25,1,64,0,-1,0,3,0
51,1,1,2,0,7816,1,0,2,3,8,76,11,-1,0,3,0
56,5,1,1,0,728,0,0,0,9,9,163,11,110,7,0,0
59,4,1,3,0,3428,1,1,0,10,9,103,0,-1,0,3,0
49,4,1,2,0,223,0,0,0,20,1,22,14,-1,0,3,0
49,0,1,1,0,2254,0,0,0,26,1,77,0,-1,0,3,0
56,9,1,1,0,589,1,0,0,9,9,208,0,26,23,2,0
38,9,1,1,0,79,1,0,0,12,1,209,11,-1,0,3,0
46,1,1,1,0,78,1,1,2,28,8,145,0,-1,0,3,0
58,9,2,1,0,409,0,1,0,5,5,643,11,-1,0,3,0
36,2,1,1,0,352,1,0,2,13,8,139,11,-1,0,3,0
29,1,1,1,0,-312,1,1,0,5,8,130,11,-1,0,3,0
39,1,1,1,0,1044,1,0,0,11,3,158,0,-1,0,3,0
36,4,2,2,0,227,0,1,0,28,1,336,29,-1,0,3,0
37,0,1,1,0,1967,0,0,1,19,10,376,0,-1,0,3,1
44,2,1,0,0,650,1,0,0,27,8,142,11,-1,0,3,0
34,1,1,0,0,1309,1,0,0,3,8,456,11,364,1,0,0
51,0,0,1,0,115,1,1,2,29,8,136,0,-1,0,3,0
27,9,2,1,0,337,0,0,2,30,5,23,0,-1,0,3,1
49,9,0,2,0,874,1,0,2,7,8,152,11,-1,0,3,0
65,5,1,3,0,679,0,0,0,4,8,593,11,178,1,2,0
36,7,1,1,0,8114,1,0,2,27,6,505,0,-1,0,3,0
32,4,2,1,0,453,1,0,0,11,3,544,0,269,12,0,0
56,4,1,2,0,0,1,0,1,26,8,259,11,-1,0,3,0
28,1,1,1,0,258,1,0,0,16,5,134,0,-1,0,3,0
59,4,1,2,0,2540,0,0,0,7,5,1432,30,-1,0,3,0
28,1,1,1,0,196,1,0,2,18,6,176,33,-1,0,3,0
33,10,2,2,0,14889,1,0,0,22,3,22,22,-1,0,3,0
44,4,1,2,0,0,0,0,0,29,5,54,11,-1,0,3,0
39,3,2,0,0,1340,0,0,2,9,6,113,11,-1,0,3,0
33,4,1,2,0,1323,0,0,0,0,6,327,0,-1,0,3,1
60,11,1,0,0,4722,0,0,2,12,6,459,22,-1,0,3,0
34,7,2,1,0,267,0,0,0,29,5,449,11,-1,0,3,1
33,1,0,0,0,60,0,0,2,30,8,131,0,-1,0,3,0
39,4,0,2,0,355,1,0,0,17,1,313,30,-1,0,3,0
31,1,0,1,0,-452,1,0,2,18,8,182,30,-1,0,3,0
38,4,1,1,0,93,0,0,2,22,5,515,11,-1,0,3,0
32,1,1,1,0,10142,1,0,0,12,9,249,0,-1,0,3,0
24,8,2,1,0,82,1,0,2,26,8,204,11,-1,0,3,0
40,6,1,1,0,1270,1,0,0,29,8,1049,11,-1,0,3,0
47,9,2,1,0,80,1,0,0,7,5,169,30,-1,0,3,0
37,0,2,1,0,-17,1,0,0,2,8,400,11,340,12,0,0
57,4,1,2,0,113,0,0,0,22,3,191,11,-1,0,3,0
44,0,1,1,0,447,1,1,2,5,8,106,30,-1,0,3,0
31,9,2,1,0,-348,1,0,0,9,8,410,0,-1,0,3,0
29,0,1,2,0,238,0,0,0,18,3,79,0,-1,0,3,0
60,1,0,0,0,7601,1,0,2,29,8,285,0,-1,0,3,0
55,9,1,1,0,-14,1,0,0,3,8,82,29,-1,0,3,0
50,10,1,0,0,210,0,0,2,7,6,247,11,-1,0,3,0
26,7,2,1,0,1163,0,1,0,20,5,239,29,-1,0,3,0
28,4,2,2,0,492,0,0,0,11,5,281,0,-1,0,3,0
41,0,1,1,0,2661,1,0,1,16,5,258,0,-1,0,3,0
33,11,2,3,0,1,0,0,2,26,8,198,0,-1,0,3,0
37,9,1,1,0,123,1,1,2,27,8,530,11,-1,0,3,0
