x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
0.1507,0.0397,0.0654,0.0668,0.1248,0.1377,0.3019,0.1575,0.0835,0.2819,0.2818,0.0469,0.235,0.3787,0.1003,0.1206,10
0.0611,0.1336,0.0096,0.1817,0.0399,0.298,0.3019,0.1575,0.1486,0.2819,0.2818,0.3228,0.122,0.3787,0.1232,0.405,8
0.1507,0.1085,0.1024,0.1817,0.1248,0.298,0.3019,0.021,0.0835,0.0134,0.2818,0.152,0.122,0.3787,0.1048,0.405,8
0.1575,0.0848,0.1004,0.1789,0.0702,0.298,0.3019,0.0515,0.1659,0.1357,0.1319,0.0469,0.0644,0.1253,0.1003,0.1733,14
0.0611,0.0338,0.0654,0.0452,0.0399,0.298,0.0087,0.0548,0.1486,0.2819,0.046,0.3228,0.122,0.3787,0.1232,0.405,19
0.0611,0.0687,0.0654,0.0668,0.1248,0.1996,0.3019,0.1552,0.1659,0.0977,0.1221,0.0951,0.2129,0.3787,0.1528,0.405,3
0.0531,0.0134,0.1805,0.1354,0.1585,0.1996,0.3019,0.1575,0.1538,0.0977,0.2818,0.0663,0.235,0.1757,0.1003,0.0497,24
0.0956,0.1085,0.0703,0.1354,0.0263,0.298,0.1851,0.1575,0.1486,0.2819,0.1221,0.0951,0.0354,0.3787,0.0637,0.0018,13
0.205,0.1336,0.1894,0.1817,0.1248,0.298,0.3019,0.1575,0.1486,0.2819,0.2818,0.3228,0.235,0.3787,0.1564,0.405,23
0.222,0.1111,0.1894,0.1354,0.1885,0.0354,0.1851,0.1156,0.0068,0.2819,0.1221,0.0045,0.122,0.3787,0.0637,0.1733,4
0.205,0.0848,0.1894,0.1789,0.1585,0.0403,0.3019,0.021,0.131,0.0896,0.0359,0.0951,0.122,0.1253,0.1048,0.1733,9
0.1507,0.1111,0.1024,0.1354,0.1248,0.0005,0.0201,0.1156,0.1538,0.0134,0.0101,0.152,0.122,0.1253,0.1232,0.405,9
0.0611,0.0687,0.0654,0.0452,0.1248,0.1377,0.0624,0.1669,0.1486,0.0405,0.1319,0.0663,0.1315,0.1757,0.1048,0.405,5
