parents,has_nurs,form,children,housing,finance,social,health,class
0.3321,0.1996,0.252,0.2483,0.3353,0.5028,0.3358,0.3324,0
0.3321,0.1996,0.252,0.25,0.3327,0.4972,0.3356,0.3336,3
0.3362,0.2023,0.252,0.2524,0.3353,0.5028,0.3358,0.3336,1
0.3317,0.2008,0.252,0.2493,0.3327,0.5028,0.3356,0.3336,3
0.3362,0.1996,0.2462,0.25,0.3327,0.4972,0.3286,0.3324,0
0.3321,0.1996,0.252,0.25,0.3327,0.5028,0.3286,0.334,1
0.3321,0.2008,0.2541,0.25,0.3327,0.4972,0.3356,0.3324,0
0.3362,0.1976,0.2477,0.2524,0.332,0.5028,0.3356,0.334,1
0.3321,0.1996,0.2477,0.2493,0.3327,0.4972,0.3286,0.334,1
0.3321,0.1997,0.2477,0.25,0.3353,0.4972,0.3286,0.3336,1
0.3321,0.1997,0.2541,0.2524,0.332,0.4972,0.3358,0.3336,1
0.3362,0.2023,0.2541,0.2524,0.3353,0.4972,0.3358,0.3336,1
0.3362,0.2023,0.2477,0.25,0.332,0.4972,0.3358,0.3324,0
0.3321,0.2023,0.2477,0.2493,0.3327,0.4972,0.3358,0.3324,0
0.3321,0.2008,0.2462,0.25,0.332,0.4972,0.3356,0.334,1
0.3362,0.1976,0.2462,0.2483,0.3353,0.5028,0.3356,0.334,1
0.3362,0.1997,0.2477,0.2493,0.3327,0.5028,0.3358,0.3336,1
0.3362,0.1996,0.2462,0.2483,0.332,0.4972,0.3356,0.334,4
0.3321,0.1996,0.252,0.2483,0.332,0.5028,0.3286,0.3336,3
0.3317,0.1997,0.2462,0.2524,0.3353,0.5028,0.3356,0.3336,3
0.3321,0.1997,0.252,0.2493,0.3327,0.5028,0.3358,0.3336,1
0.3321,0.1996,0.2462,0.2493,0.3353,0.5028,0.3356,0.3324,0
0.3362,0.2023,0.2541,0.2524,0.3327,0.5028,0.3358,0.3336,1
0.3317,0.2023,0.2462,0.25,0.332,0.4972,0.3358,0.3324,0
0.3362,0.1996,0.2541,0.2493,0.332,0.5028,0.3286,0.334,1
0.3321,0.1996,0.252,0.2493,0.3327,0.4972,0.3356,0.3324,0
0.3317,0.1997,0.2462,0.2493,0.332,0.4972,0.3286,0.3324,0
0.3317,0.2008,0.2462,0.2493,0.3327,0.5028,0.3358,0.3336,3
0.3321,0.1997,0.252,0.2493,0.332,0.4972,0.3356,0.334,4
0.3321,0.2023,0.2462,0.2483,0.332,0.5028,0.3286,0.3324,0
0.3317,0.1997,0.2477,0.2524,0.3353,0.5028,0.3356,0.3336,1
0.3317,0.2008,0.2541,0.2493,0.3327,0.5028,0.3358,0.334,3
0.3321,0.2023,0.2477,0.2483,0.3353,0.5028,0.3356,0.334,1
0.3317,0.1976,0.2462,0.2524,0.3353,0.4972,0.3286,0.3324,0
0.3317,0.2023,0.2541,0.2493,0.3353,0.4972,0.3286,0.3336,3
0.3317,0.1997,0.2477,0.2493,0.3327,0.5028,0.3286,0.334,1
0.3362,0.1997,0.2462,0.2483,0.332,0.4972,0.3356,0.3336,1
0.3321,0.1996,0.252,0.2493,0.332,0.5028,0.3286,0.334,1
0.3321,0.1976,0.2541,0.2483,0.3327,0.4972,0.3286,0.3324,0
0.3362,0.2008,0.2462,0.2524,0.3353,0.5028,0.3358,0.3336,3
0.3317,0.2023,0.2541,0.2493,0.3353,0.5028,0.3286,0.334,1
0.3317,0.2008,0.2477,0.2483,0.3353,0.5028,0.3356,0.334,3
0.3321,0.1997,0.2541,0.2483,0.3353,0.4972,0.3358,0.334,1
